id,mapudungun,gramatica,castellano,ejemplo,imagen,audio
1.02013E+12,achawall,sustantivo,"gallina, pollo",Feytichi achawall niey mari epu pichike achawall. ‘La gallina tiene doce pollitos.’ [CTM1],,
10526122613,afümün,verbo,"cocer, cocinar","Afüm ilo achawall, afümkünu kuram. ‘Pollo cocido, huevos cocidos.’ [CNKN]",,
1082513,akun,verbo,llegar,,,
10907270413,aliwen,sustantivo,árbol,,,
1090801,alka,sustantivo,gallo,,,
1132226,antü,sustantivo,sol,,,
113262704,anüwe,sustantivo,trasero,,,
1.19041E+16,arentulen,verbo,tener calor,,,
127012704,awawe,sustantivo,violeta,,,
1.2708E+14,awkantun,verbo,jugar,,,
128090901,aylla,sustantivo,nueve,,,
12826050109,ayüfal,adjetivo,agradable,,,
1282613,ayün,verbo,gustar,,,
12826272613,ayüwün,verbo,alegrarse,,,
1.0327E+12,adwamün,verbo,verse bien (vestimenta),,,
201090901,challa,sustantivo,olla,,,
020109222529120128!,chaltu may!,expresión,gracias,,,
20116,chang,sustantivo,pierna,,,
2.01163E+20,changüll küwü,sustantivo,dedos de la mano,,,
2.01163E+22,changüll namün,sustantivo,"dedos de los pies, ortejos",,,
2011804,chape,sustantivo,trenza,,,
201270128,chaway,sustantivo,aros,,,
2.04082E+18,chekodkülen,verbo,estar en cuclillas,,,
2.0408E+12,chekalül,sustantivo,esqueleto,,,
20412082613,chemkün,sustantivo,objetos,,,
2.17082E+12,chokolen,verbo,estar entumido,,,
2.17152E+12,choñokin,sustantivo,codo,,,
217280804,choyke,sustantivo,ñandú,,,
2.17281E+20,choyke purun,sustantivo,danza del ñandú,,,
21703,chod,sustantivo,amarillo,,,
0225120904281207290112?,chumleymi am?,expresión,¿cómo estás?,,,
4.09012E+12,elangechi,adjetivo,"lindo, linda",,,
4.09012E+24,elangechi wentru,adjetivo,hombre hermoso,,,
4.09012E+22,elangechi domo,adjetivo,mujer hermosa,,,
4.1218E+16,emperillu,sustantivo,membrillo,,,
41825,epu,sustantivo,dos,,,
501090804,falke,sustantivo,hombro,,,
"504,090,413,290,504,000,000","felen, felen",expresión,estar más o menos,,,
504090428,feley,expresión,así es.,,,
5070925,filu,sustantivo,serpiente,,,
5171917,foro,sustantivo,"dientes, huesos",,,
517222612,fotüm,sustantivo,hijo de papá,,,
526021713,füchon,sustantivo,evaporización,,,
5251907,furi,sustantivo,espalda,,,
5.2624E+20,fütra changüll,sustantivo,dedo pulgar,,,
5260317,füdo,sustantivo,ombligo,,,
7.0909E+14,illamtun,verbo,despreciar,,,
713,in,verbo,comer,,,
7.16011E+18,ingafkon ko,expresión,infiltración del agua,,,
7.24171E+24,itrofill mongen,sustantivo,naturaleza,,,
728010409,iyael,sustantivo,comida,,,
7.2801E+14,iyaeltun,verbo,cocinar,,,
8010817,kako,sustantivo,mote,,,
80109,kal,sustantivo,vello,,,
8.01093E+16,kal longko,sustantivo,cabello,,,
80109090526,kallfü,sustantivo,azul,,,
80118261901,kapüra,sustantivo,cabra,,,
8011926,karü,sustantivo,verde,,,
8.0127E+12,kawellu,sustantivo,caballo,,,
8012825,kayu,sustantivo,seis,,,
8010307,kadi,sustantivo,costilla,,,
8.01031E+18,kadkawilla,sustantivo,kazkawilla,,,
8010326,kadü,sustantivo,plomo,,,
8040225,kechu,sustantivo,cinco,,,
80409090415,kelleñ,sustantivo,frutilla,,,
8.04092E+16,keltantun,sustantivo,cintillo,,,
8040926,kelü,sustantivo,rojo,,,
8.04093E+12,kelüchod,sustantivo,naranjo,,,
8042404,ketre,sustantivo,mentón,,,
804272613,kewün,sustantivo,lengua,,,
8.04273E+18,kewün kutri,sustantivo,clítoris,,,
8070807,kiki,sustantivo,quique,,,
8071504,kiñe,sustantivo,uno,,,
817,ko,sustantivo,agua,,,
817052619,kofür,sustantivo,quirquincho,,,
817090420,koles,sustantivo,repollo,,,
81709091705,kollof,sustantivo,cochallullo,,,
8170926,kolü,sustantivo,café,,,
817151709,koñol,sustantivo,morado,,,
817132613,konün,verbo,entrar,,,
817180727,kopiw,sustantivo,pepino del copihue,,,
8,küchaforon,verbo,lavarse los dientes,,,
8.2602E+16,küchaküwün,verbo,lavarse las manos,,,
8.2602E+16,kücharalin,verbo,lavar platos,,,
8.2602E+28,küchatuwedakelun,verbo,lavar ropa,,,
8260901,küla,sustantivo,tres,,,
8.2509E+12,kulantu,sustantivo,cilantro,,,
82609080128,külkay,sustantivo,colgante,,,
826090817,külko,sustantivo,canasto,,,
8.25091E+14,kullkull,sustantivo,kullkull,,,
8.25091E+16,kullumtun,verbo,lavarse la cara,,,
826091727,külow,sustantivo,travesaño,,,
82509242516,kultrung,sustantivo,cultrún,,,
8.2612E+64,küme akukonpayaymün taiñ ruka mew,expresión,bienvenidos a nuestro hogar,,,
8.2612E+16,kümelekan,verbo,estar bien,,,
8.2612E+12,kümelen,verbo,estoy bien,,,
8.2612E+14,kümelkan,verbo,ordenar,,,
8.26131E+20,künko trarin,sustantivo,cola de caballo,,,
8.2519E+12,kuralnge,sustantivo,iris del ojo,,,
8251926,kurü,sustantivo,negro,,,
8.26193E+18,kürüf antü,expresión,día ventoso,,,
8.26193E+26,kürüftukumawün,sustantivo,temporal,,,
8252407,kutri,sustantivo,vagina,,,
826242513,kütrun,sustantivo,moño tomate,,,
8262726,küwü,sustantivo,mano,,,
826030115,küdañ,sustantivo,testículos,,,
8250307,kudi,sustantivo,piedra de moler,,,
1017280801,l'oyka,sustantivo,loica,,,
90105080413,lafken,sustantivo,mar,,,
90112160413,lamngen,sustantivo,hermana (entre mujeres; mujer y hombre),,,
904052613,lefün,verbo,correr,,,
904182613,lepün,verbo,barrer,,,
90705222513,liftun,verbo,limpiar,,,
90706,lig,sustantivo,blanco,,,
907180116,lipang,sustantivo,brazo,,,
9.09011E+18,llampüdken,sustantivo,mariposa,,,
9.09012E+18,llangkaforo,sustantivo,clavícula,,,
909012704,llawe,sustantivo,vientre,,,
909041826,llepü,sustantivo,balay plano,,,
909070804,llike,sustantivo,muslo,,,
917160817,longko,sustantivo,cabeza,,,
9.17161E+18,longko moyo,sustantivo,pezón,,,
9250113,luan,sustantivo,guanaco,,,
926050804,lüfke,sustantivo,relámpago,,,
9250825,luku,sustantivo,rodilla,,,
9.25083E+16,lukutulen,verbo,estar de rodillas,,,
9.26183E+12,lüpülen,verbo,estar de guata,,,
12010807,maki,sustantivo,maqui,,,
1201082615,maküñ,sustantivo,manto,,,
1.20113E+13,manshana,sustantivo,manzana,,,
12011825,mapu,sustantivo,tierra,,,
12011901,mara,sustantivo,liebre,,,
12011907,mari,sustantivo,diez,,,
1.20119E+17,mari mari,expresión,hola,,,
1201200113,masan,verbo,amasar,,,
12012401,matra,sustantivo,canilla,,,
1.20124E+17,matra küwü,sustantivo,antebrazo,,,
1201272613,mawün,sustantivo,"lluvia, precipitación",,,
1.20127E+19,mawün antü,sustantivo,día lluvioso,,,
12040907,meli,sustantivo,cuatro,,,
1.20409E+17,mellfüwün,sustantivo,labios,,,
1.20415E+13,meñkuwe,sustantivo,cántaro,,,
1.20419E+11,merkeñ,sustantivo,merquén,,,
1.20422E+11,metawe,sustantivo,jarro,,,
12172817,moyo,sustantivo,pechos,,,
1226020128,müchay,sustantivo,michay,,,
1226090917,müllo,sustantivo,sesos,,,
1.22609E+11,mültrün,sustantivo,catuto,,,
1.22613E+23,münal changüll,sustantivo,dedo anular,,,
1.22615E+13,müñetun,verbo,lavarse,,,
1301122513,namun,sustantivo,pie,,,
1.30119E+13,narangka,sustantivo,naranja,,,
1501190807,ñarki,sustantivo,gato,,,
15012704,ñawe,sustantivo,hija de papá,,,
1301270409,nawel,sustantivo,jaguar,,,
1.30416E+13,nengümün,verbo,moverse,,,
1304192612,nerüm,sustantivo,pulga,,,
1326282613,nüyün,sustantivo,"temblor, terremoto",,,
1604,nge,sustantivo,ojo,,,
1.62609E+11,ngülliw,sustantivo,piñón,,,
1.62609E+15,ngüllokin,sustantivo,milloquin,,,
1.62609E+15,ngülludwe,sustantivo,palita para detalles,,,
1.62619E+11,ngürewe,sustantivo,apretador,,,
16261926,ngürü,sustantivo,zorro,,,
1507120715,ñimiñ,sustantivo,dibujo de telar,,,
1.51709E+11,ñolkiñ,sustantivo,ñolkiñ,,,
13262825,nüyu,sustantivo,chupón,,,
1719081713,orkon,sustantivo,orquilla,,,
1801052401,paftra,sustantivo,mejilla,,,
1.80128E+15,paylalen,verbo,estar de espalda,,,
1.80109E+19,pallipalli,sustantivo,tobillo,,,
18011607,pangi,sustantivo,puma,,,
1.80115E+17,pañi antü,sustantivo,día soleado,,,
1.80122E+11,pataka,sustantivo,cien,,,
1801281304,payne,sustantivo,celeste,,,
1801282513,payun,sustantivo,barba,,,
1804160801,pengka,sustantivo,zapallo,,,
18041507,peñi,sustantivo,hermano (entre hombres),,,
1.80427E+19,pewkallael,expresión,"hasta luego, adiós, chao",,,
18042726,pewü,sustantivo,primavera,,,
1807092513,pilun,sustantivo,oreja,,,
1.80713E+13,pinüyke,sustantivo,murciélago,,,
1807130301,pinda,sustantivo,colibrí,,,
1807270804,piwke,sustantivo,corazón,,,
1.80727E+23,piwke changüll,sustantivo,dedo medio,,,
1.80727E+15,piwkeyen,verbo,amar,,,
18171526,poñü,sustantivo,papa,,,
1.81721E+19,poshonkülen,verbo,estar dobladito/a,,,
1.82602E+21,püchü changüll,sustantivo,dedo meñique,,,
1.82605E+15,püfüllka,sustantivo,pifilca,,,
1825080412,pukem,sustantivo,invierno,,,
1.82609E+19,pülay küwü,sustantivo,palma mano,,,
1.82509E+17,puliwentu,sustantivo,"temprano, en la mañana",,,
182513,pun,sustantivo,noche,,,
1.82513E+13,pun may,expresión,buenas noches,,,
1.82613E+23,pünchay longko,sustantivo,cabello suelto,,,
1826150415,püñeñ,sustantivo,hijos de mamá,,,
1.82515E+13,puñpuya,sustantivo,axila,,,
1826132613,pünün,sustantivo,pene,,,
18251901,pura,sustantivo,ocho,,,
1.82619E+19,püram chape,sustantivo,trenza cintillo,,,
1825192513,purun,verbo,bailar,,,
1.82622E+15,pütokowe,sustantivo,vaso,,,
18262401,pütra,sustantivo,estómago,,,
18250326,pudü,sustantivo,pudú,,,
1901080715,rakiñ,sustantivo,bandurria,,,
1.90108E+19,rakiduamün,verbo,pensar,,,
19010907,rali,sustantivo,plato,,,
1.90116E+17,rangiñelwe,sustantivo,listón auxiliar,,,
1901280413,rayen,sustantivo,flor,,,
1901282613,rayün,sustantivo,florecer,,,
1904060904,regle,sustantivo,siete,,,
1.90408E+19,rekülkülen,verbo,estar afirmado/a,,,
1904091226,relmü,sustantivo,arcoiris,,,
19071226,rimü,sustantivo,otoño,,,
19250825,ruku,sustantivo,pecho,,,
1.92613E+13,rünatun,verbo,peinarse,,,
1.92616E+21,rüngal kofke,sustantivo,tortilla de rescoldo,,,
1.92616E+11,rüngkoy,sustantivo,talón,,,
1.92616E+11,rüngkün,verbo,saltar,,,
2001152704,sañwe,sustantivo,chancho,,,
2.00708E+13,sikleta,sustantivo,bicicleta,,,
2.02608E+11,süküll,sustantivo,prendedor,,,
2.21708E+15,tokikura,sustantivo,piedra de toki,,,
221709,tol,sustantivo,frente,,,
2.21713E+13,tononwe,sustantivo,listón portalizos,,,
2217180409,topel,sustantivo,nuca,,,
2.40113E+13,tranalen,verbo,estar echado,,,
2.40113E+27,trananentu chape,sustantivo,trenzas que caen,,,
2.40116E+15,trangatranga,sustantivo,mandíbula,,,
2.40116E+21,trangliñ antü,sustantivo,dia con helada,,,
2.40113E+19,tranatrapiwe,sustantivo,mortero,,,
2401180409,trapel,sustantivo,amarras,,,
2.40118E+19,trapelakucha,sustantivo,adorno pectoral,,,
24011807,trapi,sustantivo,ají,,,
2.40119E+17,trarilongko,sustantivo,cinto,,,
2.40119E+11,trariwe,sustantivo,faja cintura,,,
24011925,traru,sustantivo,aguilucho,,,
24012701,trawa,sustantivo,piel,,,
2401272613,trawün,sustantivo,"junta, reunión",,,
2.40406E+11,tregüll,sustantivo,queltehue,,,
2404080113,trekan,verbo,caminar,,,
24042701,trewa,sustantivo,perro,,,
2407180113,tripan,verbo,salir,,,
2.40718E+13,tripantu,sustantivo,año,,,
2417121804,trompe,sustantivo,trompe,,,
2.41712E+17,tromü antü,sustantivo,día con nubes,,,
2.41712E+19,tromü mawün,sustantivo,condensación,,,
2.41728E+13,troyküwü,sustantivo,muñeca,,,
2.42508E+19,trukür antü,sustantivo,día con neblina,,,
2.42509E+15,trulitruli,sustantivo,codo,,,
2.42524E+11,trutruka,sustantivo,trutruca,,,
22251825,tupu,sustantivo,alfiler para ropa,,,
2.22519E+11,turango,sustantivo,durazno,,,
2225272613,tuwün,sustantivo,"origen, genealogía",,,
25050103,ufad,sustantivo,uvas,,,
2505072001,ufisa,sustantivo,oveja,,,
2.60826E+11,ükülla,sustantivo,rebozo,,,
251207,umi,sustantivo,pestaña,,,
261507,üñi,sustantivo,murta,,,
2.61507E+15,üñi pire,sustantivo,nieve,,,
252701,uwa,sustantivo,choclo,,,
27010801,waka,sustantivo,vaca,,,
2701092616,walüng,sustantivo,verano,,,
2.70119E+13,warangka,sustantivo,mil,,,
2701190701,waria,sustantivo,ciudad,,,
27010301,wada,sustantivo,guada,,,
2.70407E+11,weichan,sustantivo,lucha,,,
2.70415E+15,weñangkün,verbo,echar de menos,,,
2.70415E+19,weñche karü,sustantivo,verde claro,,,
2.70413E+21,wentru püñeñ,sustantivo,hijo de mamá,,,
2.70421E+19,weshalkalen,verbo,estar mal,,,
2.70724E+19,witra-witral,sustantivo,parante,,,
2707240109,witral,sustantivo,telar mapuche,,,
2.70724E+13,witralen,verbo,estar de pie,,,
2707240113,witran,verbo,levantarse,,,
272613,wün,sustantivo,boca,,,
2.72615E+25,wüñol tripantu,expresión,regreso del año,,,
2.72619E+21,würwün mapu,sustantivo,transpiración del agua,,,
28010909,yall,sustantivo,hijos de papá,,,
28041304,yene,sustantivo,ballena,,,
2.80727E+21,yiwiñ kofke,sustantivo,sopaipilla,,,
2826,yü,sustantivo,nariz,,,
304060715,degiñ,sustantivo,volcán,,,
3042726,dewü,sustantivo,ratón,,,
3.07022E+24,dichowe changüll,sustantivo,dedo índice,,,
3.07183E+14,dipüllwe,sustantivo,pala para detalles,,,
307270415,diweñ,sustantivo,digüeñes,,,
3.17122E+18,domo püñeñ,sustantivo,hija de mamá,,,
326150715,düñiñ,sustantivo,ceja,,,
